"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","validating home page","validating filter with Z to A","0","0","1","0","0"
"","validating checkout functionality","validating checkout fanctonality with valid credential","0","0","9","0","0"
"","validating home page","validating filter with price low to high","0","0","1","0","0"
"","validating checkout functionality","validating checkout fanctonality with empty credential","0","0","1","0","0"
"","validating home page","validating log out button","0","0","1","0","0"
"","validating checkout functionality","validating remove button from cart","0","0","1","0","0"
"","Validate login functionality","verify successful login with valid credential","0","0","1","0","0"
"","validating home page","validating filter with price high to low","0","0","1","0","0"
